dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
Si41Ge41H72, 185639, 185639, 7598452, 4.075623, 1909.110752, 4.494541, 1731.170150, 2.091418, 3720.354318
Ga41As41H72, 268096, 268096, 9378286, 5.398631, 1778.852030, 6.051738, 1586.877275, 2.670694, 3595.830747
cop20k_A, 121192, 121192, 1362087, 1.509171, 924.200706, 1.597747, 872.964798, 0.512205, 2723.084819
mip1, 66463, 66463, 5209641, 2.297856, 2321.586950, 2.653799, 2010.202513, 1.388954, 3840.785193
consph, 83334, 83334, 3046907, 1.654989, 1885.228862, 2.120192, 1471.580325, 1.141760, 2732.652095
mac_econ_fwd500, 206500, 206500, 1273389, 2.141286, 608.956511, 1.795584, 726.198494, 0.806093, 1617.618071
webbase-1M, 1000005, 1000005, 3105536, 7.716966, 412.087958, 4.752077, 669.195607, 3.239833, 981.553192
dc2, 116835, 116835, 766396, 7.267430, 107.987210, 1.591706, 493.049406, 0.622592, 1260.519696
rma10, 46835, 46835, 2374001, 1.108992, 2192.060010, 1.708339, 1423.006122, 0.797389, 3048.672176
scircuit, 170998, 170998, 958936, 1.733632, 566.412257, 1.767526, 555.550652, 0.728269, 1348.335182
pwtk, 217918, 217918, 5926171, 4.810649, 1261.451103, 3.247923, 1868.393611, 1.808998, 3354.562837
ASIC_680k, 682862, 682862, 3871773, 29.757441, 133.233757, 5.426381, 730.633476, 3.590861, 1104.107296
cant, 62451, 62451, 2034917, 1.220301, 1707.574935, 1.634099, 1275.170449, 0.743014, 2804.461199
pdb1HYS, 36417, 36417, 2190591, 1.228390, 1826.101189, 1.612902, 1390.763083, 0.724787, 3094.929412
shipsec1, 140874, 140874, 3977139, 3.031347, 1343.491843, 2.481562, 1641.140094, 1.305600, 3119.324764
eu-2005, 862664, 862664, 19235140, 12.806247, 1538.060561, 10.375885, 1898.323212, 7.268352, 2709.938106
mc2depi, 525825, 525825, 2100225, 3.855360, 557.828681, 2.955469, 727.678274, 1.578803, 1362.190333
conf5_4-8x8-10, 49152, 49152, 1916928, 0.864768, 2269.896906, 1.611264, 1218.257359, 0.792166, 2477.931673
DD, 334925, 334925, 1686092, 3.272807, 527.546674, 2.223206, 776.607274, 1.116979, 1545.738883
OVCAR-8H, 1889542, 1889542, 3946402, 14.305792, 282.481080, 8.074445, 500.482183, 5.430272, 744.182927
Yeast, 1710902, 1710902, 3636546, 13.061017, 285.109739, 7.537050, 494.069055, 4.953702, 751.725214
ddi, 4267, 4267, 2140089, 0.643891, 3403.449473, 1.326387, 1652.195612, 0.757350, 2893.576268
protein, 132534, 132534, 79255038, 31.813837, 2551.001935, 40.791962, 1989.538026, 31.076456, 2611.532014
reddit, 232965, 232965, 114848857, 50.969807, 2307.350940, 71.085060, 1654.429663, 46.297295, 2540.218266
web-BerkStan, 685230, 685230, 7600595, 7.233126, 1076.022899, 4.608819, 1688.720895, 3.344794, 2326.902636
