dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
Si41Ge41H72, 185639, 185639, 7598452, 2.093466, 1858.357452, 2.479923, 1568.761221, 1.034957, 3759.004517
Ga41As41H72, 268096, 268096, 9378286, 2.766336, 1735.755284, 3.481498, 1379.200281, 1.318093, 3642.901583
cop20k_A, 121192, 121192, 1362087, 0.818278, 852.263163, 1.187533, 587.258340, 0.276787, 2519.583709
mip1, 66463, 66463, 5209641, 1.204224, 2214.983392, 1.541427, 1730.432769, 0.707891, 3768.003154
consph, 83334, 83334, 3046907, 0.892723, 1747.480541, 1.304166, 1196.178930, 0.581120, 2684.499494
mac_econ_fwd500, 206500, 206500, 1273389, 1.129779, 577.081914, 1.304576, 499.760198, 0.423424, 1539.769025
webbase-1M, 1000005, 1000005, 3105536, 3.880038, 409.798627, 2.634752, 603.485407, 1.609216, 988.080223
dc2, 116835, 116835, 766396, 6.836019, 57.401061, 1.215488, 322.828992, 0.325325, 1206.163056
rma10, 46835, 46835, 2374001, 0.616141, 1972.744740, 1.124864, 1080.564855, 0.413286, 2941.031963
scircuit, 170998, 170998, 958936, 0.928973, 528.514100, 1.337037, 367.211457, 0.379290, 1294.460032
pwtk, 217918, 217918, 5926171, 2.462925, 1231.949751, 1.930240, 1571.928599, 0.907674, 3342.830949
ASIC_680k, 682862, 682862, 3871773, 26.179993, 75.719952, 2.960077, 669.694730, 1.804083, 1098.811695
cant, 62451, 62451, 2034917, 0.683622, 1524.054057, 1.323110, 787.445637, 0.389530, 2674.706821
pdb1HYS, 36417, 36417, 2190591, 0.689050, 1627.724083, 1.352499, 829.266733, 0.379494, 2955.465424
shipsec1, 140874, 140874, 3977139, 1.576755, 1291.446586, 1.519309, 1340.277384, 0.667034, 3052.762617
eu-2005, 862664, 862664, 19235140, 6.461645, 1524.130785, 5.567897, 1768.781094, 3.614106, 2724.987245
mc2depi, 525825, 525825, 2100225, 1.960243, 548.562131, 1.764966, 609.255340, 0.802304, 1340.284013
conf5_4-8x8-10, 49152, 49152, 1916928, 0.488550, 2008.937425, 1.085645, 904.040733, 0.411648, 2384.238879
DD, 334925, 334925, 1686092, 1.702912, 506.942889, 1.638298, 526.936666, 0.576512, 1497.417399
OVCAR-8H, 1889542, 1889542, 3946402, 7.172608, 281.704754, 4.275200, 472.623006, 2.682675, 753.187656
Yeast, 1710902, 1710902, 3636546, 6.551245, 284.207279, 3.983770, 467.374305, 2.454221, 758.656912
YeastH, 3138114, 3138114, 6487230, 11.810099, 281.239112, 6.797107, 488.658159, 4.482048, 741.058939
ddi, 4267, 4267, 2140089, 0.406733, 2693.969049, 0.875008, 1252.246327, 0.407347, 2689.905716
protein, 132534, 132534, 79255038, 15.923200, 2548.393591, 20.750950, 1955.504603, 15.503975, 2617.301671
reddit, 232965, 232965, 114848857, 25.521357, 2304.055252, 35.919670, 1637.058946, 23.097754, 2545.815278
web-BerkStan, 685230, 685230, 7600595, 3.669299, 1060.557972, 2.543002, 1530.280086, 1.647616, 2361.900242
