file_name,duration,unit
plan_1210,"235.10","us"
plan_1203,"232.16","us"
plan_1216,"231.94","us"
plan_1207,"235.33","us"
plan_1208,"241.82","us"
plan_1202,"232.13","us"
plan_1195,"240.35","us"
plan_126,"212.93","us"
plan_1196,"246.34","us"
plan_1219,"238.62","us"
plan_1204,"235.17","us"
plan_1218,"233.60","us"
plan_1212,"236.90","us"
plan_1217,"240.54","us"
plan_1211,"241.02","us"
plan_129,"238.72","us"
plan_127,"234.62","us"
plan_1221,"246.72","us"
plan_135,"225.79","us"
plan_1205,"236.90","us"
plan_1213,"240.86","us"
plan_122,"206.82","us"
plan_123,"208.80","us"
plan_130,"238.50","us"
plan_1220,"240.67","us"
plan_136,"223.39","us"
plan_13,"198.27","us"
plan_128,"216.26","us"
plan_1222,"245.92","us"
plan_138,"225.86","us"
plan_124,"210.46","us"
plan_139,"224.32","us"
plan_1214,"243.84","us"
plan_132,"217.73","us"
plan_144,"217.50","us"
plan_137,"368.61","us"
plan_145,"209.44","us"
plan_131,"218.05","us"
plan_147,"212.32","us"
plan_1223,"251.81","us"
plan_153,"218.08","us"
plan_125,"215.97","us"
plan_133,"218.56","us"
plan_141,"229.28","us"
plan_156,"217.54","us"
plan_140,"370.37","us"
plan_14,"187.01","us"
plan_162,"224.10","us"
plan_146,"214.75","us"
plan_148,"209.73","us"
plan_157,"219.30","us"
plan_142,"233.95","us"
plan_154,"216.16","us"
plan_15,"189.60","us"
plan_134,"221.22","us"
plan_163,"222.53","us"
plan_143,"373.34","us"
plan_165,"227.42","us"
plan_159,"226.40","us"
plan_149,"215.78","us"
plan_150,"217.92","us"
plan_155,"371.52","us"
plan_166,"223.10","us"
plan_151,"216.90","us"
plan_158,"378.05","us"
plan_171,"210.08","us"
plan_18,"181.54","us"
plan_172,"208","us"
plan_164,"383.46","us"
plan_160,"229.25","us"
plan_16,"190.34","us"
plan_168,"380.10","us"
plan_174,"208.26","us"
plan_180,"179.90","us"
plan_175,"208.29","us"
plan_152,"221.28","us"
plan_189,"178.40","us"
plan_167,"387.58","us"
plan_181,"188.96","us"
plan_169,"231.87","us"
plan_183,"201.15","us"
plan_173,"211.17","us"
plan_19,"199.78","us"
